,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
19172,JAVA,SPARK,ANDROID DEVELOPMENT,LOG4J,,65
19171,JAVA,SPARK,RICH INTERNET APPLICATION,LOG4J,,65
19170,JAVA,SPARK,RIA,LOG4J,,65
19169,JAVA,SPARK,MOBILE APPLICATIONS,LOG4J,,65
18964,JAVA,SPARK,SOFTWARE ARCHITECTURE,SELENIUM IDE,,65
19167,JAVA,SPARK,CSS SELECTORS,LOG4J,,65
19166,JAVA,SPARK,UNIT TEST,LOG4J,,65
19165,JAVA,SPARK,XPATH,LOG4J,,65
19164,JAVA,SPARK,AJAX,LOG4J,,65
19163,JAVA,SPARK,TEST AUTOMATION,LOG4J,,65
19162,JAVA,SPARK,CLOUD SERVER,LOG4J,,65
19161,JAVA,SPARK,PARSE WEBSITE,LOG4J,,65
19160,JAVA,SPARK,ASO,LOG4J,,65
19159,JAVA,SPARK,GRAPHICS EDITING,LOG4J,,65
19158,JAVA,SPARK,MOBILE APPLICATION,LOG4J,,65
19157,JAVA,SPARK,ANDROID APP,LOG4J,,65
19128,JAVA,SPARK,MAPREDUCE,LOG4J,,65
19127,JAVA,SPARK,WEB APPLICATION,LOG4J,,65
19126,JAVA,SPARK,WEB APPLICATION ARCHITECTURE,GIT,,65
19099,JAVA,SPARK,WEB APPLICATIONS,GIT,,65
19097,JAVA,SPARK,WEB UI AUTOMATION,GIT,,65
19096,JAVA,SPARK,CROSS-BROWSER TESTING,GIT,,65
19095,JAVA,SPARK,DATABASE TESTING,GIT,,65
19094,JAVA,SPARK,BEHAVIOR DRIVEN TESTING,GIT,,65
19093,JAVA,SPARK,PERFORMANCE TESTING,GIT,,65
19092,JAVA,SPARK,WEB AUTOMATION,GIT,,65
19091,JAVA,SPARK,CONTINUOUS INTEGRATION,GIT,,65
19090,JAVA,SPARK,GOOGLE MAPSAPI,GIT,,65
19089,JAVA,SPARK,ANDROID LOLLIPOP APP DEVELOPMENT,GIT,,65
